,imdb_title_id,title,original_title,year,date_published,genre,duration,country,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer
68489,tt2734568,Four of Hearts,Four of Hearts,2013,2013-06-15,"Drama, Romance",99,USA,5.2,113,0,5.2,113,5.5,5.0,5.2,Charles Divins,Eric Haywood,Charles Divins
68491,tt2734974,Little Paradise,Little Paradise,2015,2015-11-13,"Comedy, Crime, Thriller",90,USA,4.6,110,200000,4.6,110,5.3,5.0,4.7,Ashley Crow,Natan Moss,Ashley Crow
68497,tt2736254,Absence,Absence,2013,2013-07-05,"Horror, Sci-Fi, Thriller",84,USA,4.1,768,0,4.1,768,4.3,4.0,4.5,Erin Way,Jimmy Loweree,Erin Way
68499,tt2736858,The Harrowing,The Harrowing,2017,2018-12-25,Thriller,110,USA,4.1,210,0,4.1,210,5.0,4.0,4.0,Matthew Tompkins,Jon Keeyes,Matthew Tompkins
68505,tt2737304,Bird Box,Bird Box,2018,2018-12-21,"Drama, Horror, Sci-Fi",124,USA,6.6,266866,0,6.6,266866,6.7,7.0,7.0,Sandra Bullock,Susanne Bier,Sandra Bullock
68506,tt2737926,Always Watching,Always Watching: A Marble Hornets Story,2015,2015-04-07,Horror,92,USA,4.7,2665,0,4.7,2665,5.0,5.0,5.1,Alexandra Breckenridge,James Moran,Alexandra Breckenridge
68508,tt2738706,Inspired Guns,Inspired Guns,2014,2014-01-24,Comedy,99,USA,5.5,113,175000,5.5,113,6.1,6.0,6.6,Shona Kay,Adam White,Shona Kay
68509,tt2739012,Cut to Black,Cut to Black,2013,2013-10-18,"Crime, Drama, Thriller",90,USA,5.5,206,0,5.5,206,6.5,7.0,5.0,Dan Eberle,Dan Eberle,Dan Eberle
68514,tt2741090,Waiting in the Wings: The Musical,Waiting in the Wings: The Musical,2014,2014-04-01,"Comedy, Music, Musical",107,USA,6.0,173,0,6.0,173,6.7,7.0,6.9,Jeffrey A. Johns,Jenn Page,Jeffrey A. Johns
68515,tt2741564,Angelica,Angelica,2015,2017-12-12,"Drama, Thriller",95,USA,4.9,503,0,4.9,503,5.2,5.0,5.2,Jena Malone,Mitchell Lichtenstein,Jena Malone
68519,tt2745684,Chasing Ghosts,Chasing Ghosts,2014,2015-04-21,"Comedy, Drama, Family",89,USA,6.1,355,0,6.1,355,6.6,7.0,6.4,Toby Nichols,Joshua Shreve,Toby Nichols
68528,tt2750288,Shotgun Wedding,Shotgun Wedding,2013,2013-04-02,"Comedy, Horror, Romance",92,USA,5.1,229,0,5.1,229,5.7,6.0,4.9,Mike Damus,Danny Roew,Mike Damus
68531,tt2751140,Freshwater,Freshwater,2016,2016-02-26,"Action, Adventure, Comedy",83,USA,2.6,543,25000,2.6,543,3.2,2.0,3.2,John Bobek,Brandy Berry,John Bobek
68532,tt2751310,Sex Ed,Sex Ed,2014,2014-11-07,"Comedy, Romance",92,USA,5.5,4996,0,5.5,4996,5.6,6.0,5.6,Haley Joel Osment,Isaac Feder,Haley Joel Osment
68538,tt2752688,Rosewater,Rosewater,2014,2014-11-27,"Biography, Drama",103,USA,6.6,10202,5000000,6.6,10202,6.7,7.0,6.8,Gael García Bernal,Jon Stewart,Gael García Bernal
68539,tt2752736,The Stream,The Stream,2013,2013-10-15,"Adventure, Comedy, Family",82,USA,4.9,104,720000,4.9,104,5.9,6.0,5.4,Mario Lopez,Estlin Feigley,Mario Lopez
68540,tt2752758,La stirpe del male,Devil's Due,2014,2014-05-08,"Horror, Mystery, Thriller",89,USA,4.1,15913,7000000,4.1,15913,4.2,4.0,4.1,Allison Miller,Matt Bettinelli-Olpin,Allison Miller
68546,tt2754854,Appleton,Appleton,2015,2016-02-15,"Crime, Mystery, Thriller",105,USA,5.4,344,0,5.4,344,6.4,6.0,6.3,Alison Sieke,Jimmy Costa,Alison Sieke
68547,tt2756032,The One I Love,The One I Love,2014,2014-08-08,"Comedy, Drama, Romance",91,USA,7.1,34444,100000,7.1,34444,7.1,7.0,7.1,Mark Duplass,Charlie McDowell,Mark Duplass
68551,tt2757592,A Talking Pony!?!,A Talking Pony!?!,2013,2013-09-01,"Comedy, Family, Fantasy",88,USA,2.4,141,1000000,2.4,141,3.5,2.0,2.4,Jason Faunt,David DeCoteau,Jason Faunt
68554,tt2758904,Search Party,Search Party,2014,2016-05-13,"Adventure, Comedy",93,USA,5.6,6866,20000000,5.6,6866,5.7,6.0,5.5,Adam Pally,Scot Armstrong,Adam Pally
68558,tt2760202,Nowhere Girl,Nowhere Girl,2014,2015-10-13,Comedy,103,USA,5.8,165,0,5.8,165,6.4,7.0,6.0,Josh Robert Thompson,Jed Rigney,Josh Robert Thompson
68562,tt2762662,Better Start Running,Better Start Running,2018,2019-03-14,"Action, Comedy",92,USA,5.2,713,0,5.2,713,5.3,5.0,5.1,Analeigh Tipton,Brett Simon,Analeigh Tipton
68563,tt2762738,Truth or Dare,Truth or Dare,2013,2013-09-01,"Horror, Thriller",84,USA,4.5,629,0,4.5,629,5.2,5.0,4.9,Jessica Cameron,Jessica Cameron,Jessica Cameron
68564,tt2762772,Silent Screams,Silent Screams,2015,2015-04-03,"Horror, Thriller",73,USA,4.1,126,154000,4.1,126,5.3,5.0,4.7,Sasha Kolos,Vitaliy Versace,Sasha Kolos
68576,tt2766790,Holiday Miracle,Holiday Miracle,2014,2014-12-01,Comedy,86,USA,4.2,362,500000,4.2,362,4.6,4.0,4.5,Dean Cain,Joel Paul Reisig,Dean Cain
68586,tt2768874,Phantom of the Woods,Phantom of the Woods,2013,2013-06-30,"Drama, Horror, Thriller",101,USA,3.8,115,0,3.8,115,5.5,5.0,4.0,Delaney Hathaway,Michael Storch,Delaney Hathaway
68596,tt2771200,La bella e la bestia,Beauty and the Beast,2017,2017-03-16,"Family, Fantasy, Musical",129,USA,7.1,263977,160000000,7.1,263977,7.3,7.0,7.6,Emma Watson,Bill Condon,Emma Watson
