,writer_number,lead_writer
754,754,Matt Lopez
755,755,Jamin Winans
756,756,Kevin Kangas
757,757,Ted Elliott
758,758,Johnny Harrington
759,759,Clarence Williams IV
760,760,Gary King
761,761,Allen Kellogg
762,762,Kirk Bowman
763,763,Richard Beattie
764,764,Dan Scanlon
765,765,Andrew Knauer
766,766,Daniel Farrands
767,767,Peter Hedges
768,768,Pam Brady
769,769,Logan Miller
770,770,Sean Catherine Derek
771,771,Jerome Bixby
772,772,David Ian McKendry
773,773,Les Mahoney
774,774,Joe Conway
775,775,Dan Gilroy
776,776,Nathan Erdel
777,777,David Michael Quiroz Jr.
778,778,John Wesley Norton
779,779,Taran Killam
780,780,David Blair
781,781,Bryan Sipe
782,782,Jordan F. Ghanma
783,783,Kevin James
784,784,Katy Baldwin
785,785,Katherine Fugate
786,786,Jacoby Bancroft
787,787,Joey Evans
788,788,Marc Prey
789,789,Billy Lewis
790,790,Jake Johnson
791,791,Keith Parmer
792,792,Keith Collins
793,793,Hal Haberman
794,794,Marcus Mizelle
795,795,Lony Ruhmann
796,796,D.C. Hamilton
797,797,Scott Beck
798,798,Amy Heckerling
799,799,Philipa A. Booyens
800,800,Brad Belemjian
801,801,Alex Ranarivelo
802,802,Josh Stewart
803,803,Anthony Gaudioso
804,804,Oren Uziel
805,805,Caron Tschampion
806,806,Jeffrey Reddick
807,807,Bonnie Orr
808,808,William DeMeo
809,809,Serge Rodnunsky
810,810,Michael Linn
811,811,Adrienne Shelly
812,812,Jordon Hodges
813,813,Brad Copeland
814,814,David Golden
815,815,Jorge Cham
816,816,Victor Levin
817,817,Daniel Lusko
818,818,Troy Escamilla
819,819,Craig Clyde
820,820,Andrew Schuth
821,821,David Guion
822,822,Keith Miller
823,823,Akiva Goldsman
824,824,Nicholas Stoller
825,825,Kurt Hale
826,826,Rachel Calendar
827,827,Leigh Dunlap
828,828,Brandon Owens
829,829,Dale Rosenbloom
830,830,Madeleine Olnek
831,831,Nathan Scoggins
832,832,Damian Chapa
833,833,Joshua Caldwell
834,834,Tim McCann
835,835,Paul Harrill
836,836,Doug Bollinger
837,837,Will Elliott
838,838,Danny Strong
839,839,Bart Freundlich
840,840,Creep Creepersin
841,841,Leila Djansi
842,842,Rob Hedden
843,843,Steven Zaillian
844,844,Jordan Downey
845,845,Laura Boersma
846,846,Bruce Wood
847,847,Alan Rowe Kelly
848,848,Bethany Ashton Wolf
849,849,Sticky Fingaz
850,850,Brian Cleveland
851,851,Jessica Goldberg
852,852,Jeff Monahan
853,853,David Coggeshall
854,854,Aram Rappaport
855,855,Brian Jett
856,856,Ricardo Islas
857,857,Aimee Lagos
858,858,Anna Rasmussen
859,859,Janicza Bravo
860,860,Josh Eisenstadt
861,861,Tommy O'Haver
862,862,Renae Geerlings
863,863,Josh Edwards
864,864,Greg Coolidge
865,865,Joshua Leibner
866,866,John Orrichio
867,867,Wendy Jo Carlton
868,868,Tracey Hecht
869,869,James M. Hausler
870,870,Casey Affleck
871,871,Todd Farmer
872,872,Jesse Holland
873,873,Stevie Long
874,874,David Diamond
875,875,Nick Cannon
876,876,Carl Weber
877,877,Shane Ryan
878,878,Jason Hull
879,879,Tze Chun
880,880,Joe Hollow
881,881,Jay Kanzler
882,882,John Swab
883,883,Aaron Pope
884,884,Lance Kawas
885,885,Aaron Nee
886,886,J.C. Chandor
887,887,Brad Bird
888,888,Terry Green
889,889,Mike MacLean
890,890,Douglas Langway
891,891,Robert Rhine
892,892,Katie Dippold
893,893,Brandon Dickerson
894,894,Jon Stewart
895,895,Jason Pagan
896,896,Karen Moncrieff
897,897,Matt Ruskin
898,898,Christopher Robin Hood
899,899,Tracy Oliver
900,900,Damion Dietz
901,901,Luciano Saber
902,902,Nancy Meyers
903,903,Christopher Guest
904,904,Drew Rosas
905,905,Brad Barnes
906,906,Phil Lord
907,907,Jino Kang
908,908,J. Neil Schulman
909,909,Del Shores
910,910,Richard Preston Jr.
911,911,Kerem Sanga
912,912,George Smith
913,913,Eric Champnella
914,914,Jordan Mohr
915,915,Sylvester Stallone
916,916,Scott Pryor
917,917,Turner Clay
918,918,David Dastmalchian
919,919,Stuart Connelly
920,920,Mark Andrus
921,921,Anthony Burns
922,922,David Lewis
923,923,Andrew Niccol
924,924,Tom Getty
925,925,Judson Pearce Morgan
926,926,Chad Zuver
927,927,Scott Marshall Smith
928,928,Ryan Murphy
929,929,Annie J. Howell
930,930,Ian Truitner
931,931,Abe Pogos
932,932,Marina Rice Bader
933,933,Eshom Nelms
934,934,Jon Vitti
935,935,Dylan Schaffer
936,936,Mark Dennis
937,937,Patrick Melton
938,938,Brian Avenet-Bradley
939,939,Sanjeev Sirpal
940,940,Brad Gann
941,941,Skyler Caleb
942,942,Victor Zarcoff
943,943,Todd Phillips
944,944,Mark Cantu
945,945,Domonic Muir
946,946,Youssef Delara
947,947,Leah McKendrick
948,948,Marc Erlbaum
949,949,Ben Carland
950,950,Darren Grodsky
951,951,Trace Beaulieu
952,952,Spike Lee
953,953,Nick Lyon
954,954,Stephen Fromkin
955,955,Ian Ascher
956,956,Marilyn Fu
957,957,Travis Fine
958,958,Nicole D'Angelo
959,959,Glenn Ciano
