,imdb_title_id,title,original_title,year,date_published,genre,duration,country,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer,actor_number,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
8212,tt3381068,Legend,Legend,2015,2015-01-20,Horror,94,USA,3.4,313,0,3.4,313,3.8,3.0,3.4,Verne Troyer,Timothy Woodward Jr.,Verne Troyer,1905,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8213,tt3381600,Funny Bunny,Funny Bunny,2015,2015-03-15,"Comedy, Drama",85,USA,6.0,174,0,6.0,174,6.7,6.0,6.6,Olly Alexander,Alison Bagnall,Olly Alexander,6952,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8214,tt3382842,The Mummy Resurrected,The Mummy Resurrected,2014,2014-03-01,Horror,80,USA,1.8,1325,3000000,1.8,1325,2.4,1.0,1.7,Lauren Bronleewe,Patrick McManus,Lauren Bronleewe,2971,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8215,tt3382888,H8RZ,H8RZ,2015,2015-07-17,"Drama, Mystery, Thriller",94,USA,5.8,553,0,5.8,553,6.0,6.0,5.8,Israel Broussard,Derrick Borte,Israel Broussard,2675,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8216,tt3383214,Fire City: End of Days,Fire City: End of Days,2015,2015-06-22,"Fantasy, Horror, Thriller",101,USA,4.9,674,200000,4.9,674,5.4,5.0,5.0,Tobias Jelinek,Tom Woodruff Jr.,Tobias Jelinek,4175,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
8217,tt3383262,Honeyglue,Honeyglue,2015,2015-04-26,"Drama, Romance",107,USA,6.3,512,0,6.3,512,6.4,6.0,6.7,Adriana Mather,James Bird,Adriana Mather,4023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8218,tt3384180,The Man in 3B,The Man in 3B,2015,2015-11-06,"Crime, Drama, Thriller",93,USA,5.2,573,0,5.2,573,5.7,6.0,5.5,Lamman Rucker,Trey Haley,Lamman Rucker,4216,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8219,tt3384350,Worry Dolls,Worry Dolls,2016,2016-09-16,"Horror, Thriller",85,USA,4.3,1517,0,4.3,1517,4.6,4.0,4.2,Christopher Wiehl,Padraig Reynolds,Christopher Wiehl,4405,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8220,tt3385334,Naz & Maalik,Naz & Maalik,2015,2016-01-22,"Adventure, Comedy, Drama",86,USA,5.8,302,0,5.8,302,5.8,6.0,6.0,Kerwin Johnson Jr.,Jay Dockendorf,Kerwin Johnson Jr.,5994,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8221,tt3390376,Selling Isobel,Selling Isobel,2016,2016-09-24,"Drama, Thriller",102,USA,6.1,520,0,6.1,520,6.3,6.0,6.7,Gabriel Olds,Rudolf Buitendach,Gabriel Olds,4569,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
