,year,duration,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,month,production_number,lead_number,support_number,director_number,writer_number
9640,2016,98,7.7,107,0,7.7,107,8.6,10.0,04,5748,5486,6933,6666,6406
9641,2013,78,3.8,149,7000,3.8,149,4.3,4.0,06,1226,1898,5459,929,2001
9642,2015,79,4.5,130,1500,4.5,130,5.3,6.0,10,1226,5459,3287,929,3147
9643,2015,94,7.2,238,0,7.2,238,7.5,8.0,06,5958,4348,2612,5340,4831
9644,2017,85,4.2,269,10000,4.2,269,5.6,5.0,06,5158,5936,6617,4947,7542
9645,2015,94,4.3,359,0,4.3,359,5.1,5.0,07,4908,3891,6959,3936,6660
9646,2017,90,4.4,375,0,4.4,375,4.9,5.0,09,6036,6491,1710,2737,5270
9647,2018,89,3.7,201,0,3.7,201,5.2,4.0,09,174,4008,5888,3744,6790
9648,2016,98,3.9,110,900000,3.9,110,5.8,6.0,10,2931,6754,1552,5758,3760
9649,2014,105,6.2,231,0,6.2,231,7.0,7.0,0,5463,2878,6051,3403,5567
9650,2016,99,4.1,132,0,4.1,132,3.9,4.0,06,4032,3842,1442,5634,2043
9651,2020,86,5.2,134,0,5.2,134,5.4,5.0,05,78,5163,1442,6650,7321
9652,2020,92,4.3,235,0,4.3,235,3.4,2.0,02,5810,4793,6548,6764,7017
9653,2017,104,7.4,12854,0,7.4,12854,7.4,8.0,08,511,3752,7138,1680,1447
9654,2015,98,6.9,865,0,6.9,865,7.0,7.0,09,1442,5623,7783,1680,1447
9655,2013,82,3.1,379,0,3.1,379,5.1,4.0,09,3514,4096,799,6388,5889
9656,2015,97,3.3,203,0,3.3,203,3.9,3.0,12,5223,3197,799,3639,3079
9657,2014,93,4.3,324,0,4.3,324,5.7,5.0,08,2174,2204,7594,2126,3699
9658,2014,87,5.7,24005,1000000,5.7,24005,5.6,6.0,09,2858,1086,5059,3219,5295
9659,2017,83,2.9,149,0,2.9,149,3.5,3.0,02,4244,2566,5647,5148,3115
9660,2014,90,4.4,100,500000,4.4,100,4.4,5.0,05,3604,5779,2256,1235,771
9661,2016,90,3.4,1282,0,3.4,1282,4.5,3.0,05,5504,3892,1582,1235,771
9662,2015,87,6.3,904,0,6.3,904,6.6,7.0,08,5227,3864,7124,2862,6750
9663,2016,78,4.2,149,2000000,4.2,149,4.7,4.0,12,95,3435,3620,5374,2462
9664,2015,90,4.3,154,0,4.3,154,4.9,5.0,10,1156,433,5081,845,794
9665,2015,108,5.7,598,0,5.7,598,5.9,6.0,10,1156,4519,5426,845,794
9666,2018,101,6.2,2628,0,6.2,2628,7.4,8.0,06,2361,967,6464,1578,4646
9667,2016,88,2.6,116,0,2.6,116,3.2,3.0,03,3910,4483,1847,4412,2698
9668,2016,104,5.0,482,1000000,5.0,482,4.8,5.0,0,2604,6902,4980,4378,7015
9669,2015,87,4.9,107,0,4.9,107,5.3,5.0,05,3255,4224,2213,2340,7772
9670,2014,116,6.9,115,1500000,6.9,115,7.2,8.0,03,944,2977,829,765,1188
9671,2017,75,8.0,146,0,8.0,146,8.1,9.0,12,944,6365,829,765,1188
9672,2014,134,5.7,116,0,5.7,116,6.5,7.0,06,4348,5787,3272,6672,6523
9673,2014,91,5.7,511,1000000,5.7,511,5.9,6.0,08,3133,7021,5370,5974,5584
9674,2015,79,6.5,175,0,6.5,175,7.0,7.0,02,1279,2898,7377,6200,5791
9675,2019,107,7.1,1469,0,7.1,1469,7.5,8.0,06,1565,6626,1359,5591,5131
9676,2015,98,5.4,313,0,5.4,313,6.9,7.0,04,1700,3908,1254,3427,5565
9677,2017,88,8.2,790,0,8.2,790,9.3,10.0,02,5838,4990,1254,6618,6559
9678,2017,82,4.9,294,0,4.9,294,5.5,7.0,12,1792,3511,1752,3114,3345
9679,2014,88,5.9,451,200000,5.9,451,6.2,6.0,04,5071,1017,2538,4135,2489
9680,2015,96,2.6,322,0,2.6,322,3.4,2.0,06,3126,3637,3378,4334,5736
9681,2015,109,6.5,682,0,6.5,682,6.8,7.0,03,6303,3191,3822,3013,7267
9682,2015,70,3.4,347,0,3.4,347,3.8,3.0,07,2170,6188,3745,3991,2881
9683,2014,79,5.3,159,0,5.3,159,5.7,6.0,06,1641,3811,4915,5443,7105
9684,2015,94,5.4,823,0,5.4,823,5.7,6.0,02,5646,5560,1312,2779,3807
9685,2018,98,5.2,260,0,5.2,260,5.7,6.0,09,4456,5016,1312,2847,7546
9686,2020,93,7.0,1625,0,7.0,1625,8.7,10.0,04,1610,6286,3299,6793,7023
9687,2016,82,5.0,251,0,5.0,251,5.4,5.0,01,1581,5679,1615,6261,2973
9688,2015,95,5.5,683,0,5.5,683,6.3,6.0,02,4217,4123,5846,3569,4579
9689,2016,90,6.5,382,0,6.5,382,7.2,7.0,10,5906,6831,4937,4881,6460
9690,2014,91,4.8,860,0,4.8,860,5.2,5.0,07,5282,5323,5125,6839,7409
9691,2018,107,4.7,805,250000,4.7,805,5.0,5.0,02,3952,4641,806,7002,6263
9692,2016,90,4.3,175,0,4.3,175,4.6,4.0,10,4707,6385,7338,5172,3883
9693,2015,85,4.3,622,0,4.3,622,6.7,9.0,03,5336,6281,5608,5311,5168
9694,2015,91,6.3,449,560000,6.3,449,6.5,6.0,0,2395,4380,3806,3571,3037
9695,2014,85,6.6,126,0,6.6,126,9.0,10.0,10,1464,6483,3254,6015,7691
9696,2016,90,3.1,335,0,3.1,335,3.4,3.0,11,2643,6045,2272,5745,6034
9697,2016,78,4.2,1695,0,4.2,1695,4.4,4.0,05,3142,4462,7272,4297,7284
9698,2016,85,4.5,623,0,4.5,623,5.0,5.0,02,227,1719,1804,3133,3462
9699,2015,86,6.3,388,0,6.3,388,6.8,7.0,12,227,3778,1716,4300,4052
9700,2016,98,5.6,6434,0,5.6,6434,5.7,6.0,05,227,3165,4471,6925,2766
9701,2019,106,6.9,1074,0,6.9,1074,6.9,7.0,02,227,2888,3813,2243,3225
9702,2013,60,3.2,183,2000,3.2,183,3.9,3.0,09,4352,4952,6675,4263,4077
9703,2017,83,4.4,261,100000,4.4,261,5.3,4.0,03,1693,6871,7433,4824,1751
