,year,duration,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,month,production_number,lead_number,support_number,director_number,writer_number
2748,2015,88,5.2,321,0,5.2,321,5.3,6.0,02,0,4197,4036,3865,5308
2749,2017,83,5.5,108,0,5.5,108,6.6,8.0,05,0,2107,3323,4092,5332
2750,2015,91,2.5,335,0,2.5,335,3.1,2.0,06,0,5640,6591,4930,2390
2751,2017,99,4.5,2694,250000,4.5,2694,4.8,5.0,08,0,1539,1228,5763,6679
2752,2018,119,5.8,1038,2700000,5.8,1038,6.5,7.0,10,2350,1309,1228,1395,1513
2753,2010,101,6.4,2654,200000,6.4,2654,7.2,8.0,02,5749,4773,6376,1395,343
2754,2011,102,5.8,761,9000000,5.8,761,6.3,6.0,06,3018,313,4601,6657,343
2755,2015,100,5.6,104,0,5.6,104,6.4,7.0,05,5793,13,5998,4126,343
2756,2012,104,5.3,300,0,5.3,300,5.8,6.0,04,991,1539,389,5847,1960
2757,2014,92,5.3,785,650000,5.3,785,5.9,6.0,04,5062,3176,389,706,499
2758,2007,89,5.5,2631,0,5.5,2631,5.8,6.0,02,5639,1497,6690,706,499
2759,2013,108,6.5,700,650000,6.5,700,7.3,8.0,04,4169,6827,2504,706,499
2760,2015,97,3.7,114,0,3.7,114,4.7,4.0,06,0,6499,845,4829,2899
2761,2009,84,7.4,45081,2900000,7.4,45081,7.5,8.0,01,139,2396,845,2484,2141
2762,2015,82,2.0,175,780000,2.0,175,2.8,2.0,0,0,4681,1993,278,483
2763,2017,82,2.7,229,0,2.7,229,3.5,2.0,02,0,3315,5466,278,483
2764,2019,84,1.9,142,0,1.9,142,2.7,1.0,08,0,5698,3335,278,483
2765,2007,90,1.8,252,0,1.8,252,2.5,1.0,03,2515,1568,5317,278,4842
2766,2016,90,4.2,462,0,4.2,462,4.6,5.0,06,0,608,5751,1908,5977
2767,2015,93,5.3,141,0,5.3,141,6.0,6.0,07,3935,608,611,4924,6698
2768,2018,85,5.1,223,0,5.1,223,5.4,5.0,11,13,601,611,522,3373
2769,2020,86,5.3,126,0,5.3,126,5.7,6.0,01,13,4743,3949,522,7883
2770,2018,90,4.5,176,0,4.5,176,5.1,5.0,12,13,579,6110,522,6151
2771,2019,90,5.5,141,0,5.5,141,6.0,6.0,03,13,1592,611,116,5053
2772,2015,94,5.5,179,0,5.5,179,5.8,6.0,05,3838,1393,1373,116,1280
2773,2010,97,5.8,740,0,5.8,740,6.1,6.0,11,4292,1324,4994,116,1280
2774,2018,86,7.4,203,0,7.4,203,7.5,8.0,06,4486,4719,3020,116,6621
2775,2012,94,4.5,735,0,4.5,735,5.3,5.0,08,444,6868,611,654,7898
2776,2014,90,4.1,705,0,4.1,705,4.7,4.0,02,444,747,5921,654,5957
2777,2019,82,4.5,114,0,4.5,114,5.2,5.0,02,444,4510,4158,654,962
2778,2017,98,6.0,8245,0,6.0,8245,6.0,6.0,10,4993,4552,4243,5679,962
2779,2016,90,5.6,4464,0,5.6,4464,5.7,6.0,10,4076,608,6535,4393,1645
2780,2013,94,5.4,6807,0,5.4,6807,5.6,6.0,07,56,288,6535,1969,221
2781,2015,101,4.4,351,0,4.4,351,4.8,5.0,08,169,3799,6721,4773,221
2782,2014,89,5.8,63863,50000000,5.8,63863,6.0,6.0,08,541,5258,3395,2577,221
2783,2016,106,5.7,444,0,5.7,444,7.1,8.0,10,0,3398,5211,4347,3399
2784,2015,98,5.2,305,0,5.2,305,5.5,6.0,09,0,737,6134,6150,7604
2785,2019,85,5.2,146,0,5.2,146,5.7,6.0,10,4613,737,2958,2881,3169
2786,2016,99,5.8,192,0,5.8,192,6.6,7.0,04,0,635,3822,951,5191
2787,2018,120,2.5,1551,0,2.5,1551,4.3,1.0,10,5714,5485,7497,951,6597
2788,2015,120,6.5,12967,3000000,6.5,12967,7.4,8.0,08,5757,635,675,114,104
2789,2019,119,6.6,3413,5000000,6.6,3413,7.2,8.0,08,98,6452,675,114,104
2790,2008,122,6.5,20939,500000,6.5,20939,7.1,8.0,09,433,1256,6315,114,104
2791,2011,129,7.0,18794,2000000,7.0,18794,7.7,8.0,09,83,5360,6452,114,104
2792,2006,111,6.6,15643,100000,6.6,15643,7.2,8.0,09,4982,6315,5632,114,104
2793,2017,86,3.5,201,2000000,3.5,201,4.8,4.0,09,2459,635,5470,4603,4374
2794,2016,96,5.9,3201,0,5.9,3201,6.2,6.0,02,0,4304,745,3618,6186
2795,2019,112,6.5,2387,0,6.5,2387,6.4,7.0,12,1141,704,745,3704,3155
2796,2015,80,3.5,213,0,3.5,213,3.9,3.0,12,0,676,1588,110,273
2797,2009,88,4.1,799,1000000,4.1,799,5.2,5.0,10,4017,884,6479,110,273
2798,2016,85,5.3,324,0,5.3,324,5.7,6.0,08,974,315,847,1780,273
2799,2014,80,5.0,162,0,5.0,162,5.3,5.0,10,4760,32,2215,110,4532
2800,2010,116,5.1,101,4000000,5.1,101,5.4,5.0,0,4870,1185,3080,110,4427
2801,2018,90,3.1,209,1000000,3.1,209,3.8,3.0,12,1208,3405,6783,110,396
2802,2015,80,3.0,851,0,3.0,851,3.3,3.0,01,3216,5119,1295,4402,396
2803,2016,90,3.2,660,0,3.2,660,3.7,3.0,07,4,2481,5227,162,396
2804,2018,87,5.5,378,0,5.5,378,6.0,6.0,04,135,676,449,264,1271
2805,2013,101,5.0,772,0,5.0,772,5.4,5.0,10,3146,5641,6265,264,1271
2806,2018,87,5.7,246,0,5.7,246,6.0,6.0,12,135,1041,1357,264,2117
2807,2018,92,6.1,622,0,6.1,622,6.3,6.0,09,1844,1478,449,306,1281
2808,2015,94,5.8,553,0,5.8,553,6.0,6.0,07,594,4384,1890,306,1281
2809,2009,96,6.5,38056,10000000,6.5,38056,6.6,7.0,04,796,864,2644,306,2308
2810,2020,90,6.2,4720,33000000,6.2,4720,6.2,6.0,09,2072,153,5407,306,1411
2811,2012,93,5.4,72610,65000000,5.4,72610,5.7,6.0,11,243,70,815,5448,1411
2812,2015,90,4.4,248,0,4.4,248,4.7,5.0,05,2139,1453,449,914,6917
2813,2011,99,6.2,116,0,6.2,116,7.2,8.0,0,422,1121,5412,914,3221
2814,2013,96,6.1,1910,0,6.1,1910,6.2,7.0,06,5136,4244,449,3551,4129
2815,2015,100,6.6,88626,0,6.6,88626,6.6,7.0,05,375,3475,449,933,179
2816,2018,121,6.2,23655,9000000,6.2,23655,6.1,6.0,06,34,483,3951,933,179
2817,2016,102,5.9,52409,40000000,5.9,52409,6.1,6.0,05,3,113,188,106,179
2818,2013,96,5.6,115892,130000000,5.6,115892,5.7,6.0,09,3,97,26,561,179
2819,2019,90,4.7,324,0,4.7,324,5.2,5.0,06,135,676,4216,269,7094
2820,2018,85,4.6,102,400000,4.6,102,5.2,5.0,10,721,571,3469,269,7449
2821,2015,89,4.7,253,0,4.7,253,4.9,5.0,03,4681,2119,4625,269,2069
2822,2013,98,3.4,351,3000000,3.4,351,4.0,3.0,07,1850,6,4216,1330,3202
2823,2012,91,2.9,152,500000,2.9,152,3.6,3.0,03,948,2857,346,1330,2565
2824,2011,90,4.2,2841,0,4.2,2841,4.8,5.0,08,4055,2787,4216,2303,5836
2825,2013,92,5.5,6707,0,5.5,6707,5.7,6.0,09,5658,508,4216,1002,3543
2826,2009,78,5.5,1646,50000,5.5,1646,5.7,6.0,10,2938,3849,6635,1002,6782
2827,2016,97,5.6,928,0,5.6,928,5.7,6.0,08,0,5559,399,1697,4957
2828,2009,85,5.1,140,0,5.1,140,6.5,6.0,10,5166,4658,6529,1697,4862
2829,2006,93,5.8,128313,25000000,5.8,128313,6.0,6.0,03,8,224,399,3641,6310
2830,2012,92,5.9,394,0,5.9,394,7.1,7.0,0,2546,288,399,2060,5360
2831,2007,104,6.1,628,4000000,6.1,628,6.6,6.0,0,693,860,399,2665,1995
2832,2016,108,6.1,824,0,6.1,824,6.6,7.0,07,4951,1497,399,4168,2078
2833,2018,80,3.1,132,0,3.1,132,3.6,3.0,05,0,2542,6569,3379,2788
2834,2019,85,5.0,152,0,5.0,152,6.1,6.0,07,0,6220,2761,5385,4870
2835,2017,79,4.5,1334,0,4.5,1334,4.7,5.0,09,0,2109,5412,6743,3739
2836,2016,104,5.8,770,0,5.8,770,6.2,6.0,06,0,2753,1492,3296,3731
2837,2016,77,6.1,101,0,6.1,101,6.5,7.0,03,0,6089,5424,2876,6088
2838,2016,78,3.4,328,0,3.4,328,3.9,3.0,03,0,3536,1612,3657,5399
2839,2016,89,5.7,6585,20000000,5.7,6585,5.8,6.0,10,0,4181,1651,1532,963
2840,2006,86,6.3,13745,12000000,6.3,13745,6.4,7.0,11,960,1270,6495,1532,963
2841,2017,89,3.9,146,35000,3.9,146,4.5,4.0,02,0,4859,5046,5740,6123
2842,2018,90,4.1,164,0,4.1,164,4.7,4.0,07,0,5333,5552,1317,1052
2843,2009,75,4.8,439,0,4.8,439,5.2,5.0,06,2411,2442,1846,1317,1052
2844,2016,97,6.1,3335,0,6.1,3335,6.7,7.0,10,0,3825,320,4854,429
2845,2009,89,5.6,578,350000,5.6,578,6.4,6.0,03,3468,1016,4709,662,429
2846,2014,95,6.6,2912,0,6.6,2912,7.1,7.0,05,3150,842,1764,662,429
2847,2017,83,4.6,124,0,4.6,124,5.8,5.0,0,4541,4806,320,5223,5141
2848,2017,97,4.1,221,0,4.1,221,5.0,5.0,10,0,4575,4328,3849,7358
2849,2015,46,7.0,1676,500,7.0,1676,7.3,7.0,03,0,1037,6887,1296,1060
2850,2018,80,5.6,586,10000,5.6,586,6.1,6.0,12,0,1037,5231,1296,1060
2851,2017,109,4.7,126,0,4.7,126,5.2,5.0,06,0,1391,1222,4859,4742
2852,2010,87,4.6,974,0,4.6,974,4.9,5.0,05,6259,71,1222,3711,5485
2853,2019,73,4.1,164,0,4.1,164,5.7,6.0,09,0,1391,3453,2254,6005
2854,2016,95,6.4,120,0,6.4,120,6.4,7.0,07,0,1981,7244,4568,5395
2855,2016,90,4.8,3233,0,4.8,3233,5.0,5.0,07,73,646,414,125,79
2856,2015,78,5.5,2767,0,5.5,2767,5.7,6.0,12,36,247,69,125,79
2857,2015,76,4.4,3301,0,4.4,3301,4.5,5.0,08,6054,247,6561,125,79
2858,2017,85,4.1,544,0,4.1,544,4.5,4.0,12,36,646,485,125,79
2859,2013,90,3.8,661,0,3.8,661,4.4,4.0,12,25,1452,922,125,79
2860,2018,78,2.1,228,0,2.1,228,2.7,2.0,05,0,6077,5803,5803,6748
2861,2018,92,4.7,714,0,4.7,714,5.0,5.0,07,0,406,6768,1695,1480
2862,2007,101,5.9,3143,0,5.9,3143,6.3,6.0,06,3475,3806,6622,1695,1480
2863,2007,104,6.8,252014,25000000,6.8,252014,6.9,7.0,11,18,93,6768,1239,3585
2864,2013,115,6.7,223688,50000000,6.7,223688,6.9,7.0,10,15,261,5517,1239,1298
2865,2019,97,4.4,10536,0,4.4,10536,4.6,5.0,07,110,261,559,1136,1298
2866,2017,120,5.5,324,0,5.5,324,5.6,6.0,03,3841,1529,6768,1331,3215
2867,2007,111,6.9,3113,0,6.9,3113,7.1,7.0,01,696,229,1891,1331,2145
2868,2017,93,5.7,188,0,5.7,188,6.1,6.0,11,2796,406,253,3911,7910
2869,2010,100,4.3,898,0,4.3,898,4.8,4.0,04,59,4,253,607,367
2870,2012,92,3.6,1461,10000000,3.6,1461,4.3,4.0,06,59,1134,4775,607,367
2871,2006,91,4.8,139,2000000,4.8,139,5.4,5.0,03,2655,3561,7286,607,367
2872,2006,82,6.0,2312,0,6.0,2312,6.3,6.0,02,2260,6317,253,5137,1023
2873,2017,98,6.4,44619,5000000,6.4,44619,6.7,7.0,07,72,296,441,176,1023
2874,2006,105,7.1,64773,40000000,7.1,64773,7.2,7.0,01,6,24,250,816,775
2875,2007,95,7.0,2442,3000000,7.0,2442,7.3,7.0,03,5953,194,6275,4308,775
2876,2015,113,5.9,5240,0,5.9,5240,6.1,6.0,08,155,6218,253,570,5056
2877,2007,106,6.2,55357,20000000,6.2,55357,6.3,6.0,11,21,1459,1062,570,1603
2878,2012,103,5.8,14612,0,5.8,14612,5.9,6.0,07,159,330,302,570,528
2879,2017,97,5.5,173,0,5.5,173,5.8,6.0,11,749,3156,861,3696,528
2880,2008,95,6.5,3506,0,6.5,3506,6.7,7.0,10,56,1000,182,34,528
2881,2018,90,7.5,166,0,7.5,166,7.9,8.5,02,0,4677,2129,2282,4828
2882,2016,80,6.0,1249,0,6.0,1249,6.6,7.0,07,0,2795,750,4073,4213
2883,2015,90,4.6,110,200000,4.6,110,5.3,5.0,11,2071,2280,750,6464,4809
2884,2016,79,2.2,231,0,2.2,231,2.7,2.0,0,0,5743,2411,18,190
2885,2018,67,1.9,105,0,1.9,105,2.5,1.0,01,287,417,340,18,190
2886,2014,72,2.5,179,0,2.5,179,3.2,2.0,05,108,6876,2495,18,190
2887,2017,80,2.4,139,0,2.4,139,3.1,2.0,06,108,6851,2435,18,190
2888,2016,85,2.1,484,0,2.1,484,2.8,2.0,08,0,1169,6659,18,4924
2889,2017,69,2.6,146,0,2.6,146,3.1,2.0,11,108,1169,2707,18,7560
2890,2015,87,1.7,642,0,1.7,642,2.4,1.0,06,108,417,340,18,181
2891,2020,70,1.7,142,30000,1.7,142,2.2,1.0,03,108,417,2138,18,181
2892,2014,81,4.8,109,65000,4.8,109,5.4,5.0,02,1075,2594,378,68,181
2893,2015,85,2.0,120,200000,2.0,120,2.8,2.0,09,119,378,2689,68,181
2894,2017,77,4.3,1151,0,4.3,1151,5.8,8.0,01,108,3490,340,18,2354
2895,2016,86,4.0,130,0,4.0,130,4.3,4.0,01,0,3694,3633,6391,1541
2896,2017,95,2.6,608,0,2.6,608,2.5,2.0,08,0,3949,7269,4634,2558
2897,2017,77,3.9,300,35000,3.9,300,4.9,4.0,03,0,3922,2400,5566,1579
2898,2018,89,5.9,141,0,5.9,141,6.6,7.0,05,0,687,1874,984,496
2899,2011,78,4.0,2073,20000,4.0,2073,4.8,4.0,10,2413,687,3353,984,496
2900,2011,82,5.6,1611,60000,5.6,1611,6.3,7.0,03,2205,687,1928,1007,496
2901,2015,92,4.9,243,0,4.9,243,6.7,8.0,04,2286,427,1874,6142,5727
2902,2012,98,2.5,275,750000,2.5,275,3.3,2.0,01,4298,1404,1874,643,835
2903,2019,82,2.2,174,0,2.2,174,3.3,2.0,08,3184,1159,1061,643,835
2904,2006,76,3.0,211,30000,3.0,211,3.8,3.0,08,1487,1119,2205,643,2903
2905,2020,88,5.8,9886,0,5.8,9886,5.7,6.0,08,1101,95,3633,1007,4066
2906,2015,89,4.5,1699,2000000,4.5,1699,4.6,5.0,08,6273,4476,3353,657,1335
2907,2013,99,3.8,10342,250000,3.8,10342,4.2,4.0,11,6207,405,7365,1123,1335
2908,2008,95,6.9,13640,1500000,6.9,13640,7.6,8.0,11,3869,365,99,657,973
2909,2010,90,6.5,193,0,6.5,193,7.3,8.0,08,1174,1721,2959,759,973
2910,2011,99,5.6,18730,7000000,5.6,18730,6.2,6.0,05,2234,1253,7020,657,6904
2911,2017,82,4.2,101,500000,4.2,101,5.8,5.0,01,0,3898,4326,1577,5504
2912,2011,79,5.0,3890,1000000,5.0,3890,5.3,5.0,04,657,126,341,1577,4480
2913,2017,79,4.2,180,0,4.2,180,5.3,5.5,10,0,2178,7689,5911,6740
2914,2017,75,4.5,247,0,4.5,247,4.9,5.0,05,0,6253,6753,5449,4516
2915,2016,92,4.7,119,0,4.7,119,5.4,5.0,07,0,4202,3374,2174,4226
2916,2018,106,4.9,2703,415000,4.9,2703,5.0,5.0,01,0,4485,6116,6730,123
2917,2011,90,5.4,2878,0,5.4,2878,5.7,6.0,05,4058,1470,905,320,123
2918,2008,94,4.1,17474,0,4.1,17474,4.4,4.0,09,86,6100,347,320,123
2919,2006,96,3.7,1068,25000,3.7,1068,4.2,4.0,06,5529,4766,5765,320,123
2920,2017,117,4.2,244,0,4.2,244,5.0,6.0,0,0,1750,7305,5772,1766
2921,2017,103,5.3,195,0,5.3,195,5.5,5.0,04,0,135,3243,2287,5624
2922,2012,104,6.1,2229,4200000,6.1,2229,6.6,7.0,07,5988,135,3235,4498,5628
2923,2013,89,2.5,971,1950000,2.5,971,3.4,2.0,10,3871,135,2171,2299,5985
2924,2011,87,5.2,353,2000000,5.2,353,6.0,6.0,06,290,4757,136,99,2265
2925,2015,90,5.8,354,0,5.8,354,6.4,6.0,01,78,136,2348,99,6003
2926,2006,89,3.5,185,0,3.5,185,6.5,8.0,04,1594,3746,3915,99,3665
2927,2016,85,4.4,369,0,4.4,369,4.8,5.0,01,3817,329,2600,99,7314
2928,2017,85,5.4,478,0,5.4,478,5.6,6.0,07,0,5448,547,3619,3386
2929,2017,100,5.5,325,0,5.5,325,6.0,6.0,03,0,305,547,6972,6277
2930,2012,101,6.4,5256,0,6.4,5256,6.3,7.0,07,6098,2330,547,6757,5618
2931,2017,100,5.2,150,0,5.2,150,5.5,5.0,05,0,2727,3516,3994,4307
2932,2017,96,3.3,289,0,3.3,289,4.2,3.0,05,0,1735,6174,1094,3125
2933,2015,75,2.9,225,0,2.9,225,3.6,3.0,11,1797,4896,4156,1094,3470
2934,2016,100,5.0,152,0,5.0,152,6.2,6.0,09,0,185,5249,1756,1108
2935,2014,85,4.5,1352,0,4.5,1352,5.8,6.0,07,3676,1139,1016,1756,1108
2936,2007,83,4.8,569,0,4.8,569,5.3,5.0,01,3679,185,173,4196,2964
2937,2012,102,6.4,16397,0,6.4,16397,6.5,7.0,04,27,17,173,46,92
2938,2009,119,5.8,42713,40000000,5.8,42713,6.1,6.0,05,3,379,2392,46,92
2939,2006,107,5.4,24087,17000000,5.4,24087,5.6,6.0,06,3,327,152,46,92
2940,2015,79,6.7,14428,600000,6.7,14428,6.7,7.0,09,522,1345,5009,46,92
2941,2018,100,5.4,2684,0,5.4,2684,5.6,6.0,09,313,228,4558,46,92
2942,2010,98,5.5,104817,100000000,5.5,104817,5.6,6.0,01,3,17,101,46,1242
2943,2009,105,7.0,191738,40000000,7.0,191738,7.2,7.0,08,22,22,3371,3254,1242
2944,2013,108,5.7,33021,13000000,5.7,33021,5.8,6.0,03,27,1049,2301,46,787
2945,2017,104,5.8,2119,0,5.8,2119,6.1,6.0,12,49,979,5537,3373,787
2946,2008,90,5.7,790,0,5.7,790,6.0,6.0,01,5628,185,3570,3412,3388
2947,2014,101,5.8,198613,125000000,5.8,198613,6.0,6.0,09,5,2897,3136,177,7018
2948,2006,91,5.8,66836,16000000,5.8,66836,6.0,6.0,11,8,2868,1174,177,1587
2949,2011,116,5.7,172606,70000000,5.7,172606,5.9,6.0,04,1,242,2255,177,3130
2950,2007,102,7.4,11729,0,7.4,11729,7.7,8.0,04,1400,354,1356,4030,3586
2951,2018,135,7.5,207042,15000000,7.5,207042,7.5,8.0,09,27,99,558,32,7133
2952,2013,104,5.7,67531,30000000,5.7,67531,5.8,6.0,12,183,323,5205,32,2975
2953,2006,129,7.6,331649,45000000,7.6,331649,7.7,8.0,04,3,92,1575,32,984
2954,2008,101,6.0,83756,60000000,6.0,83756,6.1,6.0,09,11,17,328,1024,984
2955,2020,154,6.5,29694,0,6.5,29694,6.4,7.0,06,97,898,512,32,4649
2956,2012,121,5.0,1645,0,5.0,1645,5.3,5.0,05,97,6194,2790,32,906
2957,2014,123,4.2,1449,1420000,4.2,1449,4.5,4.0,01,97,2641,1880,32,906
2958,2018,74,5.6,742,0,5.6,742,5.6,6.0,04,97,2219,4255,32,3564
2959,2015,105,5.4,138,0,5.4,138,6.3,6.0,0,1241,6755,4325,1369,1444
2960,2013,100,5.4,216,500000,5.4,216,5.8,6.0,09,1241,5457,4240,1369,1444
2961,2017,81,4.4,486,0,4.4,486,4.8,5.0,04,0,5378,4587,4286,5275
2962,2015,93,5.1,4366,0,5.1,4366,5.2,5.0,12,453,103,4587,6147,2529
2963,2016,90,2.8,257,0,2.8,257,3.4,3.0,07,803,2739,4587,442,7135
2964,2016,95,1.9,117,0,1.9,117,2.2,1.0,12,0,5294,7192,1767,1137
2965,2015,94,2.8,233,3000000,2.8,233,4.1,3.0,09,4341,1404,7661,1767,1137
2966,2017,70,7.4,219,20000,7.4,219,8.5,9.0,05,0,1300,7700,4960,7551
2967,2017,120,4.1,115,0,4.1,115,6.3,7.0,09,193,1300,6461,120,204
2968,2017,125,1.5,553,0,1.5,553,1.8,1.0,10,193,5422,1409,120,204
2969,2019,130,4.0,132,0,4.0,132,4.1,4.0,09,193,1507,1719,120,204
2970,2018,114,3.3,1062,0,3.3,1062,4.2,2.0,09,193,1507,6070,120,204
2971,2016,81,3.8,188,3500,3.8,188,5.2,5.0,05,193,5182,1409,120,4871
2972,2017,90,6.1,195,0,6.1,195,6.6,6.0,11,0,1003,6761,2329,3674
2973,2017,109,4.9,532,0,4.9,532,6.0,6.0,08,5619,1003,1501,4558,7822
2974,2007,93,4.5,776,3000000,4.5,776,5.4,5.0,09,3616,305,1844,6298,2794
2975,2012,98,7.5,5776,0,7.5,5776,7.7,8.0,09,6084,305,1354,972,1371
2976,2010,90,6.6,627,15000,6.6,627,6.9,7.0,09,2371,75,3567,972,1371
2977,2014,88,5.4,4651,0,5.4,4651,5.6,6.0,11,50,374,1354,202,4892
2978,2011,103,5.7,155,600000,5.7,155,6.4,6.0,0,3045,670,4174,202,6102
2979,2019,91,4.6,3098,0,4.6,3098,5.3,5.0,11,54,2262,1882,202,5606
2980,2008,89,4.3,3422,25000,4.3,3422,4.8,5.0,09,50,4234,4054,202,3717
2981,2018,110,5.0,189,0,5.0,189,5.6,6.0,08,5370,1090,1354,6407,7000
2982,2015,99,5.8,9899,0,5.8,9899,6.3,6.0,01,1475,305,1480,4805,3864
2983,2007,93,6.6,21912,10000000,6.6,21912,6.8,7.0,05,11,106,1480,635,271
2984,2014,106,7.4,112923,0,7.4,112923,7.5,8.0,09,534,515,572,635,271
2985,2011,92,7.0,89685,100000,7.0,89685,7.0,7.0,05,559,1436,2094,635,271
2986,2007,90,6.3,13505,13000000,6.3,13505,6.6,7.0,12,400,311,1480,6754,3236
2987,2018,90,4.6,301,0,4.6,301,5.6,6.0,04,0,5905,4337,6390,7235
2988,2018,96,9.2,1450,90000,9.2,1450,9.3,10.0,06,0,6101,1925,2188,3640
2989,2019,86,4.3,100,0,4.3,100,4.7,5.0,08,0,4941,4797,2808,1696
2990,2016,79,6.2,280,0,6.2,280,7.1,8.0,09,0,3877,4457,6071,6801
2991,2018,80,2.5,359,0,2.5,359,4.9,4.0,11,0,1651,7283,1974,5400
2992,2017,73,3.5,148,8900,3.5,148,5.2,4.0,01,0,4028,7404,6425,6167
2993,2017,92,4.9,465,0,4.9,465,5.7,6.0,07,0,6978,6137,2275,3590
2994,2018,96,5.2,829,0,5.2,829,5.5,5.0,01,0,1673,5937,2382,5996
2995,2017,74,4.3,228,0,4.3,228,5.0,5.0,03,0,4311,5073,2288,3563
2996,2017,87,6.1,174,0,6.1,174,6.4,7.0,10,0,2920,544,5702,5097
2997,2011,108,6.1,187,1000000,6.1,187,6.7,7.0,07,211,2667,544,304,229
2998,2014,103,4.3,1472,650000,4.3,1472,4.7,5.0,02,211,614,7550,304,229
2999,2012,81,4.4,324,850000,4.4,324,5.1,5.0,11,211,187,6506,304,229
3000,2017,91,4.1,3369,10000000,4.1,3369,4.5,4.0,11,33,4075,544,1584,5122
3001,2017,92,5.8,15177,0,5.8,15177,6.0,6.0,12,199,702,385,1584,296
3002,2019,84,5.3,3836,0,5.3,3836,5.5,5.0,12,17,702,385,666,296
3003,2018,90,5.9,400,1000000,5.9,400,6.2,6.0,12,1308,6645,616,1144,296
3004,2017,92,6.9,223,0,6.9,223,7.0,7.0,06,0,5909,7545,5379,4885
3005,2017,90,5.8,531,0,5.8,531,6.4,7.0,03,0,4869,4246,2657,3517
3006,2018,92,7.3,100,0,7.3,100,7.8,9.0,09,0,1640,6652,1028,7164
3007,2012,102,5.9,188,1300000,5.9,188,7.5,9.5,09,5121,6886,517,1028,4877
3008,2016,118,4.4,145,0,4.4,145,4.7,4.0,10,0,3396,5119,4276,5277
3009,2017,93,5.8,119,0,5.8,119,6.4,7.0,10,0,3368,3647,1085,3680
3010,2017,78,4.2,219,0,4.2,219,4.7,4.0,07,5638,236,6152,1085,6470
3011,2018,81,4.8,129,0,4.8,129,5.5,5.0,05,0,215,286,2533,3854
3012,2019,94,3.9,187,0,3.9,187,4.6,4.0,09,1323,4226,286,5269,5182
3013,2007,115,5.4,21578,13000000,5.4,21578,5.7,6.0,07,371,292,1322,1798,456
3014,2007,84,4.6,11179,20000000,4.6,11179,4.7,5.0,01,8,1129,1220,2926,456
3015,2018,100,5.2,621,0,5.2,621,5.8,6.0,04,33,6265,1756,279,456
3016,2020,92,6.4,1205,0,6.4,1205,6.8,7.0,06,239,3942,606,5637,5330
3017,2018,86,5.5,5543,0,5.5,5543,5.6,6.0,04,550,833,606,6222,3025
3018,2010,104,6.5,16955,15000000,6.5,16955,6.9,7.0,07,14,215,917,967,5805
3019,2006,110,5.3,37299,12000000,5.3,37299,5.9,6.0,06,14,284,3067,967,1120
3020,2006,98,4.0,21360,0,4.0,21360,4.4,4.0,08,19,1428,237,6488,1120
3021,2014,97,4.4,9839,3000000,4.4,9839,5.0,5.0,09,2520,149,917,6872,5778
3022,2017,90,4.7,534,0,4.7,534,5.1,5.0,09,1676,215,2337,6721,2283
3023,2018,95,5.4,2424,0,5.4,2424,5.6,6.0,12,4904,215,4023,4006,4299
3024,2020,76,4.0,205,0,4.0,205,4.4,4.0,04,0,5083,94,2109,5357
3025,2006,94,5.1,7923,0,5.1,7923,5.3,5.0,02,11,841,94,5181,281
3026,2009,86,5.5,12072,10000000,5.5,12072,5.7,6.0,10,11,204,5636,571,281
3027,2010,124,6.2,18946,25000000,6.2,18946,6.5,7.0,11,237,675,4252,6505,281
3028,2019,105,5.0,1307,0,5.0,1307,6.2,7.0,09,130,118,94,87,76
3029,2018,98,5.3,1877,0,5.3,1877,6.0,7.0,10,130,119,1431,87,76
3030,2019,117,4.3,549,0,4.3,549,4.8,4.0,11,130,8,3432,87,76
3031,2019,110,4.6,500,0,4.6,500,6.0,7.0,02,130,3998,2589,87,76
3032,2017,106,4.3,257,0,4.3,257,6.0,7.0,03,130,2194,5274,1819,76
3033,2018,107,5.5,280,0,5.5,280,6.8,8.0,02,3036,159,3432,87,7620
3034,2019,100,6.9,228,0,6.9,228,7.1,9.0,11,130,3432,2194,87,1850
3035,2015,91,4.5,165,2500000,4.5,165,5.3,5.0,05,3525,6759,94,905,4363
3036,2008,85,4.1,1279,1000000,4.1,1279,4.5,4.0,09,6087,7015,1388,905,2389
3037,2017,94,4.5,318,335000,4.5,318,5.0,5.0,06,1399,3726,94,3239,2654
3038,2008,104,7.4,74335,2900000,7.4,74335,7.6,8.0,07,86,63,6195,650,1055
3039,2017,121,7.3,68750,0,7.3,68750,7.5,7.0,09,56,3373,942,650,1055
3040,2019,121,6.4,72741,40000000,6.4,72741,6.6,7.0,08,11,43,6224,650,3559
3041,2007,95,6.2,461,5000000,6.2,461,6.5,7.0,09,2168,63,5423,4435,6422
3042,2012,92,6.1,11323,500000,6.1,11323,6.2,6.0,05,4089,63,7391,6822,6376
3043,2017,90,5.0,18818,0,5.0,18818,5.1,5.0,09,4656,63,2979,6056,678
3044,2012,86,3.5,1463,1500000,3.5,1463,4.0,3.0,08,395,2171,7175,620,678
3045,2012,100,6.1,490,0,6.1,490,6.3,6.0,04,3162,2320,2979,3913,4573
3046,2012,98,4.8,9636,2500000,4.8,9636,4.9,5.0,08,103,3981,2979,6246,2580
3047,2015,86,4.9,3798,990000,4.9,3798,5.1,5.0,12,6044,63,1916,4037,4265
