,imdb_title_id,title,original_title,year,date_published,genre,duration,country,production_company,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer,month,production_number,actor_number,director_number,writer_number
40,tt9248032,Buttons,Buttons,2018,2019-11-19,"Drama, Family, Fantasy",115,USA,0,5.4,308,0,5.4,308,6.2,6.0,5.6,Alivia Clark,Tim Janis,0,11,0,5793,2079,0
41,tt0321858,30 Days,30 Days,2006,2006-10-03,"Drama, Sport",93,USA,Horizon Productions,4.4,158,0,4.4,158,4.9,5.0,4.8,Da Brat,Jamal Joseph,0,10,5310,5234,983,0
42,tt9557190,Miranda Sings Live... Your Welcome,Miranda Sings Live... Your Welcome,2019,2019-06-04,Comedy,61,USA,The Gersh Agency,5.5,354,0,5.5,354,6.0,6.0,5.9,Colleen Ballinger,Marcus Raboy,0,06,5965,1824,967,0
43,tt1652287,35 and Ticking,35 and Ticking,2011,2011-05-20,"Comedy, Romance",104,USA,Swirl Films,5.6,1460,0,5.6,1460,6.1,6.0,5.9,Tamala Jones,Russ Parr,0,05,38,404,36,0
44,tt9058902,Jingle Belle,Jingle Belle,2018,2018-11-25,"Drama, Music, Romance",86,USA,Production Media Films,6.1,356,0,6.1,356,6.5,6.0,6.5,Tatyana Ali,Peter Sullivan,0,11,2905,1312,112,0
45,tt0872224,Street Thief,Street Thief,2006,2007-06-21,"Crime, Thriller",84,USA,Bader Bros. Pictures,7.1,1930,0,7.1,1930,7.4,8.0,7.1,Malik Bader,Malik Bader,0,06,4726,1681,383,0
46,tt4693418,Back to the Jurassic,Back to the Jurassic,2015,2015-06-09,Animation,86,USA,CJ Entertainment,4.9,317,0,4.9,317,5.4,5.0,5.3,Melanie Griffith,Yoon-suk Choi,0,06,890,1030,2144,0
47,tt5505722,Only for One Night,Only for One Night,2016,2016-10-01,Thriller,86,USA,Footage Films Studios,4.5,658,3500000,4.5,658,4.7,4.5,4.6,Brian White,Chris Stokes,0,10,6133,1163,15,0
48,tt0419236,Pittsburgh,Pittsburgh,2006,2006,Comedy,84,USA,ROAR,6.3,488,0,6.3,488,6.7,7.0,6.4,Jeff Goldblum,Chris Bradley,0,0,4253,5220,4162,0
49,tt4063178,The Dog Lover,The Dog Lover,2016,2016-07-08,Drama,101,USA,ESX Entertainment,5.5,675,2000000,5.5,675,5.9,6.0,6.0,James Remar,Alex Ranarivelo,0,07,53,461,48,0
50,tt1246723,Man of Her Dreams,Man of Her Dreams,2009,2009-02-03,Comedy,140,USA,Swirl Films,4.9,101,300000,4.9,101,5.8,6.0,5.9,Jackée Harry,Clifton Powell,0,02,38,2118,6188,0
